question_word,correct_answer,guess,label
enormously,tremendously,decidedly,wrong
provisions,stipulations,stipulations,correct
haphazardly,randomly,N/A,guess
prominent,conspicuous,mysterious,wrong
zenith,pinnacle,outset,wrong
flawed,imperfect,N/A,guess
urgently,desperately,desperately,correct
consumed,eaten,supplied,wrong
advent,coming,coming,correct
concisely,succinctly,succinctly,correct
salutes,greetings,greetings,correct
solitary,alone,alert,wrong
hasten,accelerate,accompany,wrong
perseverance,endurance,disturbance,wrong
fanciful,imaginative,imaginative,correct
showed,demonstrated,repeated,wrong
constantly,continually,rapidly,wrong
issues,subjects,subjects,correct
furnish,supply,impress,wrong
costly,expensive,complicated,wrong
recognized,acknowledged,depicted,wrong
spot,location,sea,wrong
make,earn,trade,wrong
often,frequently,hardly,wrong
easygoing,relaxed,frontier,wrong
debate,argument,war,wrong
narrow,thin,clear,wrong
arranged,planned,explained,wrong
infinite,limitless,unusual,wrong
showy,striking,striking,correct
levied,imposed,N/A,guess
deftly,skillfully,occasionally,wrong
distribute,circulate,acknowledge,wrong
discrepancies,differences,N/A,guess
prolific,productive,productive,correct
unmatched,unequaled,alienated,wrong
peculiarly,uniquely,partly,wrong
hue,color,contrast,wrong
hind,rear,curved,wrong
highlight,accentuate,N/A,guess
hastily,hurriedly,hurriedly,correct
temperate,mild,cold,wrong
grin,smile,rest,wrong
verbally,orally,N/A,guess
physician,doctor,doctor,correct
essentially,basically,ordinarily,wrong
keen,sharp,simple,wrong
situated,positioned,emptying,wrong
principal,major,most,wrong
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,materials,wrong
unlikely,improbable,disagreeable,wrong
halfheartedly,apathetically,N/A,guess
annals,chronicles,songs,wrong
wildly,furiously,abruptly,wrong
hailed,acclaimed,remembered,wrong
command,mastery,love,wrong
concocted,devised,requested,wrong
prospective,potential,potential,correct
generally,broadly,broadly,correct
sustained,prolonged,prolonged,correct
perilous,dangerous,exciting,wrong
tranquillity,peacefulness,happiness,wrong
dissipate,disperse,N/A,guess
primarily,chiefly,N/A,guess
colloquial,conversational,N/A,guess
resolved,settled,settled,correct
feasible,possible,permitted,wrong
expeditiously,rapidly,frequently,wrong
percentage,proportion,volume,wrong
terminated,ended,postponed,wrong
uniform,alike,hard,wrong
figure,solve,express,wrong
sufficient,enough,enough,correct
fashion,manner,manner,correct
marketed,sold,N/A,guess
bigger,larger,better,wrong
roots,origins,cure,wrong
normally,ordinarily,permanently,wrong
