model name,size of vocabulary,number of correct labels,questions without guessing,accuracy
word2vec-google-news-300,3000000,70,79,0.8860759493670886
glove-wiki-gigaword-100,400000,65,80,0.8125
conceptnet-numberbatch-17-06-300,1917247,0,0,0
glove-wiki-gigaword-200,400000,68,80,0.85
fasttext-wiki-news-subwords-300,999999,74,80,0.925
glove-twitter-100,1193514,39,78,0.5
word2vec-google-news-300,3000000,70,79,0.8860759493670886
glove-wiki-gigaword-100,400000,65,80,0.8125
glove-twitter-200,1193514,44,78,0.5641025641025641
glove-wiki-gigaword-300,400000,71,80,0.8875
glove-wiki-gigaword-200,400000,68,80,0.85
word2vec-google-news-300,3000000,70,79,0.8860759493670886
word2vec-google-news-300,3000000,70,79,0.8860759493670886
word2vec-google-news-300,3000000,70,79,0.8860759493670886
word2vec-google-news-300,3000000,70,79,0.8860759493670886
glove-wiki-gigaword-100,400000,65,80,0.8125
glove-twitter-200,1193514,44,78,0.5641025641025641
glove-wiki-gigaword-300,400000,71,80,0.8875
glove-wiki-gigaword-200,400000,68,80,0.85
word2vec-google-news-300,3000000,70,79,0.8860759493670886
glove-wiki-gigaword-100,400000,65,80,0.8125
glove-twitter-200,1193514,44,78,0.5641025641025641
glove-wiki-gigaword-300,400000,71,80,0.8875
glove-wiki-gigaword-200,400000,68,80,0.85
word2vec_size100_window5,45104,14,69,0.2028985507246377
word2vec_size200_window5,45104,19,69,0.2753623188405797
word2vec_size100_window10,45104,15,69,0.21739130434782608
word2vec_size200_window10,45104,22,69,0.3188405797101449
word2vec-google-news-300,3000000,70,79,0.8860759493670886
glove-wiki-gigaword-100,400000,65,80,0.8125
glove-twitter-200,1193514,44,78,0.5641025641025641
glove-wiki-gigaword-300,400000,71,80,0.8875
glove-wiki-gigaword-200,400000,68,80,0.85
word2vec-google-news-300,3000000,70,79,0.8860759493670886
glove-wiki-gigaword-100,400000,65,80,0.8125
glove-twitter-200,1193514,44,78,0.5641025641025641
glove-wiki-gigaword-300,400000,71,80,0.8875
glove-wiki-gigaword-200,400000,68,80,0.85
word2vec-google-news-300,3000000,70,79,0.8860759493670886
glove-wiki-gigaword-100,400000,65,80,0.8125
glove-twitter-200,1193514,44,78,0.5641025641025641
glove-wiki-gigaword-300,400000,71,80,0.8875
glove-wiki-gigaword-200,400000,68,80,0.85
your_own_corpus-E100-W5,45104,16,69,0.2318840579710145
your_own_corpus-E100-W10,45104,16,69,0.2318840579710145
your_own_corpus-E200-W5,45104,20,69,0.2898550724637681
your_own_corpus-E200-W10,45104,20,69,0.2898550724637681
